Unnamed: 0,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
730,0.625,1.0,0.3333333333333333,0.6955645161290323,0.6906050913086239,0.0,0.0,0.5833525409866537,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
901,0.125,1.0,1.0,0.8069556451612903,0.1230118998041804,0.0,0.1942489548733139,0.1345328822632811,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
6211,0.0694444444444444,1.0,0.3333333333333333,0.6804435483870968,0.0588539682258393,0.0,0.0495298025433607,0.0672367002490798,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
4564,0.0138888888888888,0.0,0.0,0.017641129032258,0.0062644538760754,0.0,0.0,0.0001784452953641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
318,0.3333333333333333,1.0,0.3333333333333333,0.7550403225806452,0.3083830266084228,0.0,0.4692789721387191,0.3289713372244321,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
3158,0.25,0.5,0.0,0.315524193548387,0.3033962732258836,0.0,0.0,0.1278188780252054,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3246,0.0416666666666666,0.5,0.0,0.3719758064516129,0.0296919164621341,0.0,0.0278963374554123,0.0208706643369642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4868,0.5138888888888888,1.0,0.3333333333333333,0.8190524193548386,0.5254255309722751,0.0,0.7912989369067754,0.5566303580058738,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
4631,0.0694444444444444,1.0,0.3333333333333333,0.7484879032258064,0.0723114682922939,0.0,0.0595130629880544,0.0645228447154169,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
2690,0.1111111111111111,1.0,1.0,0.6270161290322581,0.0954819730814556,0.0,0.0767017817547611,0.083965946689468,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4444,0.0416666666666666,0.0,0.0,0.0161290322580645,0.0372766017774391,0.0,0.0,0.006684263355515,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2560,0.6388888888888888,1.0,0.3333333333333333,0.7605846774193549,0.4829418418853022,0.8472835222588324,0.3641335308191865,0.6150414513550689,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
5334,0.6805555555555555,1.0,0.6666666666666666,0.904233870967742,0.5280989047015682,0.4626154747026281,0.7952653476180876,0.7843265548905163,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
