Unnamed: 0,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
2,0.0277777777777777,0.5,0.0,0.3588709677419355,0.0112529793813519,0.0330823552032442,0.0,0.0132867392839882,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4,0.0277777777777777,1.0,0.3333333333333333,0.5287298387096775,0.0279197937249133,0.0,0.0,0.0197553812409383,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5,0.1111111111111111,1.0,0.3333333333333333,0.8205645161290324,0.1084096084494811,0.0,0.172583938791071,0.1192163277445258,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
8,0.3888888888888888,1.0,0.3333333333333333,0.8724798387096774,0.3519524362257329,0.0,0.533921700949159,0.4501654336592439,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
13,0.6805555555555555,1.0,0.6666666666666666,0.8613911290322581,0.5870835880759767,0.5135233950072395,0.8827792920307446,0.7461243912413101,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
18,0.1388888888888889,0.5,1.0,0.3724798387096775,0.1169276117397224,0.0,0.0,0.0757723335439979,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
20,0.0138888888888888,0.5,0.3333333333333333,0.2157258064516128,0.0061404052844699,0.0,0.0104249743648171,0.0031004870069519,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
22,0.0138888888888888,0.0,0.0,0.0191532258064515,0.0063707812403087,0.0,0.0,0.0002007509572846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
26,0.6527777777777778,1.0,0.3333333333333333,0.8175403225806451,0.5531592518097803,0.4842443125704647,0.8324466919658897,0.7034239191047994,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
27,0.0138888888888888,0.5,0.3333333333333333,0.1204637096774193,0.0027910933111227,0.0092379762102448,0.0,0.0016952303059593,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
29,0.2361111111111111,0.5,0.0,0.4682459677419355,0.1857982083839126,0.0,0.2874032655279094,0.1597531506747462,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
36,0.0694444444444444,1.0,0.3333333333333333,0.5186491935483871,0.0669655647016778,0.0,0.0,0.0443287854567084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
38,0.4722222222222222,1.0,0.3333333333333333,0.8881048387096774,0.4114012469836993,0.3618972082142535,0.6221242583325298,0.5249934941819399,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
