,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
0,0.013888888888888888,0.5,0.3333333333333333,0.11693548387096775,0.0026670447195172725,0.009130913572046602,0.0,0.0016431837614781218,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,0.4722222222222222,0.5,0.0,0.3901209677419355,0.438544260242131,0.38532353309619327,0.0,0.27818134503141384,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2,0.027777777777777776,0.5,0.0,0.3588709677419355,0.011252979381351952,0.03308235520324422,0.0,0.013286739283988254,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3,0.625,0.5,0.6666666666666666,0.24243951612903225,0.4270254624501959,0.3753820024063603,0.0,0.27093200490724567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
4,0.027777777777777776,1.0,0.3333333333333333,0.5287298387096775,0.027919793724913385,0.0,0.0,0.019755381240938324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5,0.1111111111111111,1.0,0.3333333333333333,0.8205645161290324,0.10840960844948119,0.0,0.17258393879107103,0.11921632774452581,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
6,0.3055555555555555,1.0,1.0,0.7142137096774193,0.2684535570933642,0.23852332217551284,0.20501836092584638,0.2870887393583405,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
7,0.1388888888888889,0.5,0.0,0.11592741935483869,0.09908824285169988,0.09234917277724854,0.0,0.04209821926465668,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8,0.38888888888888884,1.0,0.3333333333333333,0.8724798387096774,0.3519524362257329,0.0,0.533921700949159,0.4501654336592439,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
10,0.18055555555555555,0.5,0.0,0.31955645161290325,0.13089193890902215,0.11979799392292076,0.0,0.08456076434068181,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
11,0.2222222222222222,0.0,1.0,0.0070564516129032195,0.22373935618780952,0.0,0.0,0.045800959143462584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13,0.6805555555555555,1.0,0.6666666666666666,0.8613911290322581,0.5870835880759767,0.5135233950072395,0.8827792920307446,0.7461243912413101,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
