,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
0,1.0,1.0,1.0,29.85,14.925,14.925,0.0,29.85,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,34.0,1.0,0.0,56.95,629.8333333333334,629.8333333333334,0.0,1889.5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2,2.0,1.0,0.0,53.85,27.0375,54.075,0.0,108.15,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
3,45.0,1.0,2.0,42.3,613.5833333333334,613.5833333333334,0.0,1840.75,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
4,2.0,2.0,1.0,70.7,50.550000000000004,0.0,0.0,151.65,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5,8.0,2.0,1.0,99.65,164.1,0.0,328.2,820.5,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
6,22.0,2.0,3.0,89.1,389.88,389.88,389.88,1949.4,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
7,10.0,1.0,0.0,29.75,150.95,150.95,0.0,301.9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,28.0,2.0,1.0,104.8,507.675,0.0,1015.35,3046.05,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1
9,62.0,1.0,2.0,56.15,871.9875,1636.9126708427546,0.0,3487.95,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
10,13.0,1.0,0.0,49.95,195.8166666666667,195.8166666666667,0.0,587.45,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
11,16.0,0.0,3.0,18.95,326.8,0.0,0.0,326.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,58.0,2.0,3.0,100.35,1136.22,0.0,1901.7543253004314,5681.1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
13,49.0,2.0,2.0,103.7,839.3833333333333,839.3833333333333,1678.7666666666667,5036.3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1
14,25.0,2.0,1.0,105.5,383.7214285714286,383.7214285714286,767.4428571428572,2686.05,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0
15,69.0,2.0,3.0,113.25,986.89375,1636.9126708427546,1901.7543253004314,6813.30095644852,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
16,52.0,0.0,0.0,20.65,1022.95,0.0,0.0,1022.95,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,71.0,2.0,2.0,106.7,1230.375,1230.375,1901.7543253004314,6813.30095644852,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0
18,10.0,1.0,3.0,55.2,176.11666666666667,0.0,0.0,528.35,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
19,21.0,2.0,1.0,90.05,372.58000000000004,372.58000000000004,372.58000000000004,1862.9,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
20,1.0,1.0,1.0,39.65,19.825,0.0,19.825,39.65,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
21,12.0,0.0,2.0,19.8,202.25,0.0,0.0,202.25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
22,1.0,0.0,0.0,20.15,20.15,0.0,0.0,20.15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,58.0,1.0,3.0,59.9,876.275,876.275,0.0,3505.1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
24,49.0,1.0,3.0,59.6,594.0600000000001,1188.1200000000001,0.0,2970.3,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
25,30.0,1.0,2.0,55.3,382.65,765.3,0.0,1530.6,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
26,47.0,2.0,1.0,99.35,791.525,791.525,1583.05,4749.15,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1
27,1.0,1.0,1.0,30.2,15.1,15.1,0.0,30.2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
28,72.0,1.0,3.0,90.25,909.9214285714286,1636.9126708427546,1819.8428571428572,6369.45,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0
29,17.0,1.0,0.0,64.7,273.275,0.0,546.55,1093.1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
30,71.0,2.0,3.0,96.35,1127.825,1636.9126708427546,0.0,6766.95,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
31,2.0,2.0,3.0,95.5,36.33,0.0,72.66,181.65,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0
32,27.0,1.0,0.0,66.15,374.89,749.78,0.0,1874.45,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0
33,1.0,0.0,2.0,20.2,20.2,0.0,0.0,20.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,1.0,1.0,2.0,45.25,22.625,0.0,0.0,45.25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,72.0,2.0,2.0,99.9,1035.9571428571428,1636.9126708427546,1035.9571428571428,6813.30095644852,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0
36,5.0,2.0,1.0,69.7,105.63333333333333,0.0,0.0,316.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
37,46.0,2.0,3.0,74.8,1182.7666666666667,0.0,0.0,3548.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
38,34.0,2.0,1.0,106.35,591.5416666666666,591.5416666666666,1183.0833333333333,3549.25,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1
39,11.0,2.0,2.0,97.85,221.08,0.0,442.16,1105.4,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
40,10.0,1.0,0.0,49.55,158.56666666666666,158.56666666666666,0.0,475.7,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
41,70.0,1.0,3.0,69.2,974.47,1636.9126708427546,974.47,4872.35,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0
42,17.0,0.0,0.0,20.75,418.25,0.0,0.0,418.25,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
43,63.0,1.0,3.0,79.85,810.2416666666667,1620.4833333333333,810.2416666666667,4861.45,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0
44,13.0,1.0,1.0,76.2,163.57500000000002,327.15000000000003,163.57500000000002,981.45,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0
45,49.0,2.0,1.0,84.5,976.675,0.0,976.675,3906.7,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
46,2.0,1.0,0.0,49.25,32.333333333333336,32.333333333333336,0.0,97.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
47,2.0,2.0,1.0,80.65,36.0375,0.0,36.0375,144.15,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
48,52.0,1.0,3.0,79.75,702.9666666666667,702.9666666666667,1405.9333333333334,4217.8,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0
49,69.0,1.0,3.0,64.15,1063.525,1063.525,0.0,4254.1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
50,43.0,2.0,1.0,90.25,767.75,767.75,767.75,3838.75,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
51,15.0,2.0,3.0,99.1,203.77142857142857,407.54285714285714,407.54285714285714,1426.4,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1
52,25.0,1.0,3.0,69.5,350.53000000000003,350.53000000000003,350.53000000000003,1752.65,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
53,8.0,2.0,3.0,80.65,158.325,158.325,0.0,633.3,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1
54,60.0,1.0,3.0,74.85,742.725,1485.45,742.725,4456.35,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
55,18.0,2.0,1.0,95.45,350.51,0.0,701.02,1752.55,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1
56,63.0,2.0,3.0,99.65,1051.8666666666666,1051.8666666666666,1901.7543253004314,6311.2,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
57,66.0,2.0,1.0,108.45,1010.907142857143,1010.907142857143,1901.7543253004314,6813.30095644852,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
58,34.0,0.0,3.0,24.95,894.3,0.0,0.0,894.3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
59,72.0,2.0,3.0,107.5,1308.95,0.0,1901.7543253004314,6813.30095644852,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0
60,47.0,2.0,1.0,100.5,941.4200000000001,0.0,1882.8400000000001,4707.1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0
61,60.0,2.0,2.0,89.9,1090.1399999999999,1090.1399999999999,1090.1399999999999,5450.7,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
62,72.0,1.0,2.0,42.1,987.3333333333334,1636.9126708427546,0.0,2962.0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
63,18.0,1.0,3.0,54.4,319.03333333333336,0.0,0.0,957.1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
64,9.0,2.0,1.0,94.4,171.45,0.0,342.9,857.25,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1
65,3.0,1.0,1.0,75.3,40.68333333333333,40.68333333333333,81.36666666666666,244.1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0
66,47.0,2.0,1.0,78.9,912.5875,912.5875,0.0,3650.35,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
67,31.0,1.0,0.0,79.2,416.2,416.2,832.4,2497.2,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0
68,50.0,0.0,2.0,20.15,930.9,0.0,0.0,930.9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
69,10.0,2.0,0.0,79.85,221.8375,221.8375,0.0,887.35,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
70,1.0,1.0,0.0,49.05,16.349999999999998,0.0,0.0,49.05,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
